date,cash_remaining,portfolio_value,daily_return,total_realised_pnl
2022-01-01,10000.0,10000.0,0.0,0.0
2022-01-01,10000.0,10000.0,0.0,0.0
2022-01-02,10000.0,10000.0,0.0,0.0
2022-01-02,10000.0,10000.0,0.0,0.0
2022-01-03,10000.0,10000.0,0.0,0.0
2022-01-03,10000.0,10000.0,0.0,0.0
2022-01-04,10000.0,10000.0,0.0,0.0
2022-01-04,10000.0,10000.0,0.0,0.0
2022-01-05,10000.0,10000.0,0.0,0.0
2022-01-05,10000.0,10000.0,0.0,0.0
2022-01-06,20000.0,10000.0,0.0,0.0
2022-01-06,20000.0,10000.0,0.0,0.0
2022-01-07,10076.380726811454,10076.380726811454,0.7638072681145422,76.38072681145456
2022-01-07,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-08,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-08,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-09,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-09,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-10,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-10,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-11,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-11,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-12,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-12,10076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-13,20076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-13,20076.380726811454,10076.380726811454,0.0,76.38072681145456
2022-01-14,10058.78882828598,10058.78882828598,-0.17458548860371037,58.78882828598121
2022-01-14,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-15,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-15,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-16,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-16,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-17,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-17,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-18,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-18,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-19,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-19,10058.78882828598,10058.78882828598,0.0,58.78882828598121
2022-01-20,20058.78882828598,10058.788828285979,-1.8083582771225278e-14,58.78882828598121
2022-01-20,20058.78882828598,10058.788828285979,0.0,58.78882828598121
2022-01-21,10081.438338797054,10081.438338797054,0.22517134913284348,81.43833879705699
2022-01-21,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-22,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-22,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-23,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-23,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-24,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-24,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-25,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-25,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-26,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-26,10081.438338797054,10081.438338797054,0.0,81.43833879705699
2022-01-27,20081.438338797052,10081.438338797052,-1.8042955205565473e-14,81.43833879705699
2022-01-27,20081.438338797052,10081.438338797052,0.0,81.43833879705699
2022-01-28,10144.387886405104,10144.387886405104,0.624410381659521,144.38788640510836
2022-01-28,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-01-29,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-01-29,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-01-30,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-01-30,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-01-31,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-01-31,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-02-01,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-02-01,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-02-02,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-02-02,10144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-02-03,20144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-02-03,20144.387886405104,10144.387886405104,0.0,144.38788640510836
2022-02-04,10152.802616123716,10152.802616123716,0.08294960536641904,152.80261612372107
2022-02-04,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-05,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-05,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-06,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-06,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-07,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-07,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-08,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-08,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-09,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-09,10152.802616123716,10152.802616123716,0.0,152.80261612372107
2022-02-10,20152.802616123714,10152.802616123714,-1.791613086870329e-14,152.80261612372107
2022-02-10,20152.802616123714,10152.802616123714,0.0,152.80261612372107
2022-02-11,10152.218502890357,10152.218502890357,-0.005753221602373087,152.21850289036487
2022-02-11,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-12,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-12,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-13,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-13,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-14,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-14,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-15,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-15,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-16,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-16,10152.218502890357,10152.218502890357,0.0,152.21850289036487
2022-02-17,20152.218502890355,10152.218502890355,-1.791716168271976e-14,152.21850289036487
2022-02-17,20152.218502890355,10152.218502890355,0.0,152.21850289036487
2022-02-18,10143.849141406108,10143.849141406108,-0.08243874461393896,143.84914140611892
2022-02-18,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-19,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-19,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-20,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-20,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-21,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-21,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-22,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-22,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-23,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-23,10143.849141406108,10143.849141406108,0.0,143.84914140611892
2022-02-24,20143.849141406106,10143.849141406106,-1.793194455269387e-14,143.84914140611892
2022-02-24,20143.849141406106,10143.849141406106,0.0,143.84914140611892
2022-02-25,10085.14012756734,10085.14012756734,-0.5787646584679844,85.14012756735237
2022-02-25,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-02-26,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-02-26,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-02-27,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-02-27,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-02-28,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-02-28,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-03-01,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-03-01,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-03-02,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-03-02,10085.14012756734,10085.14012756734,0.0,85.14012756735237
2022-03-03,20085.14012756734,10085.140127567342,1.8036332470718173e-14,85.14012756735237
2022-03-03,20085.14012756734,10085.140127567342,0.0,85.14012756735237
2022-03-04,10105.877465658776,10105.877465658776,0.20562270656755105,105.8774656587868
2022-03-04,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-05,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-05,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-06,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-06,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-07,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-07,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-08,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-08,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-09,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-09,10105.877465658776,10105.877465658776,0.0,105.8774656587868
2022-03-10,20105.877465658778,10105.877465658778,1.799932177811421e-14,105.8774656587868
2022-03-10,20105.877465658778,10105.877465658778,0.0,105.8774656587868
2022-03-11,10039.351368441481,10039.351368441481,-0.6582911522860003,39.351368441489996
2022-03-11,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-12,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-12,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-13,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-13,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-14,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-14,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-15,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-15,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-16,10039.351368441481,10039.351368441481,0.0,39.351368441489996
2022-03-16,10039.351368441481,10039.351368441481,0.0,39.351368441489996
